Title,Subtitle,Status,SupportStatus,Year,imdbRating,Studio,Earnings,Budget,Key,Remarks,Interesting?
TAPS,FATHER SKY,APPROVED,Assisted,1981,6.8,Major Studio Partners,35856053,14000000,TAPS_1981,"APPROVED ASSISTANCE AFTER RESOLVING SEVERAL INACCURACIES IN THE FILM, AND AN EARLIER TURN DOWN BY THE DOD. REVISED SCRIPT ENDED UP WITH A FILM THAT WAS SUPPORTED BY THE DEPARTMENT AND THE NGB. POSITIVE IMPRESSION FOR THE NGB. PROVIDED GOOD IMPRESSION FOR THE MOVIEGOERS.",
INCHON,,APPROVED,Assisted,1981,2.7,One Way Productions,5200986,46000000,INCHON_1981,"ARMY, NAVY, AND MARINES APPROVED PROJECT. MUCH ASSISTANCE PROVIDED. MAY 4 WAS PREMIERE AT THE KENNEDY CENTER. REVIEWED ON MAY 6.",
"DON'T CRY, IT'S ONLY THUNDER",,LIMITED,Assisted,1982,,,,,"DON'T CRY, IT'S ONLY THUNDER_1982","BASED ON A TRUE STORY OF SOLDIER IN VIETNAM WHO FOUND WAYS TO GIVE AID TO A CATHOLIC ORPHANAGE IN SAIGON — REPLACED HIS BEST FRIEND WHO WAS KILLED BY A VIETCONG WOMAN WHO DROPPED A GRENADE INTO A HELICOPTER. ARMY PROVIDED LIMITED ASSISTANCE IN THE PHILIPPINES IN THE FORM OF HELICOPTER, MEN AND EQUIPMENT MADE FOR THEATRICAL RELEASE, BUT MAY NOT HAVE MADE IT THAT FAR. HAS APPEARED ON CABLE TV",
FIRST BLOOD,,DENIED,Not assisted,1982,7.7,Anabasis N.V.,125212904,15000000,FIRST BLOOD_1982,DECLINED TO ASSIST BECAUSE MILITARY PORTRAYALS WERE TOTALLY NEGATIVE AND INACCURATE.,Y
TURKEY SHOOT,,APPROVED,Assisted,1982,,,,,TURKEY SHOOT_1982,SCRIPT WAS APPROVED BY THE DEPARTMENT AS WELL AS THE NAVY AFTER BEING REVIEWED AND FINDING EVERYTHING QUITE FACTUAL. NO RECORD OF FILM EVER BEING MADE,
MEGAFORCE,,OTHER,Not assisted,1982,3.7,Golden Harvest Company,5675599,20000000,MEGAFORCE_1982,"DONALD BARUCH APPROVAL. THE USE OF AIR FORCE'S C-130 AIRCRAFT ALONG WITH PERSONNEL WAS APPROVED, SINCE THE FILM POSED NO THREAT TO THE DEPARTMENT.",
FIREFOX,,APPROVED,Assisted,1982,6,Major Studio Partners,46708276,18000000,FIREFOX_1982,FIRST CONTACT WITH THE AIR FORCE,
AN OFFICER AND A GENTLEMAN,,DENIED,Not assisted,1982,7,Lorimar Film Entertainment,129795554,7500000,AN OFFICER AND A GENTLEMAN_1982,"THE NAVY DECLINED BECAUSE OF DAMAGING PORTRAYAL OF NAVY SINGLE PARENT LIFESTYLE, NEGATIVE PORTRAYAL OF WOMEN LIVING AROUND AIR STATION, AND A FIGHT BETWEEN OFFICER CANDIDATE AND DRILL INSTRUCTOR. FILMMAKERS WOULDN'T CHANGE THESE SCENES, SO ASSISTANCE BECAME IMPOSSIBLE. MARINES OFFERED TO COOPERATE, BUT PRODUCER DID NOT HAVE TIME. STILL, MARIN ES PROVIDED A DI. AS TECHNICAL ADVISOR AND OFF-DUTY MARINES AS EXTRAS",Y
BLUE THUNDER,,DENIED,Not assisted,1983,6.4,Columbia Pictures,42313354,22000000,BLUE THUNDER_1983,ARMY REFUSED COOPERATION ON SHORT SCENE SET IN VIETNAM. SHOWS A VIET CONG BEING THROWN OUT OF A HELICOPTER.,
TWISTER'S REVENGE,,APPROVED,Assisted,,,,,,TWISTER'S REVENGE_,DOD AND NATIONAL GUARD DECIDED TO SUPPORT THE FILM SO THAT IT MAY HELP THE LOCAL ECONOMY. IT ALSO MEANT TEMPORARY EMPLOYMENT FOR 3 OR 4 NATIONAL GUARD PERSONNEL. NO RECORD OF FILM BEING MADE.,
NEVER SAY NEVER AGAIN,,DENIED,Not assisted,1983,6.2,TaliaFilm II Productions,55432841,36000000,NEVER SAY NEVER AGAIN_1983,"DENIED REQUEST FOR STOCK FOOTAGE AND UNDERSEA SHOT OF NUCLEAR SUBMARINE (TO BE SHOT BY PRODUCTION COMPANY). SCRIPT DEPICT ED DRUG ADDICTED USAF OFFICER, OTHER NEGATIVE MILITARY/DOD PORTRAYALS (ALSO NEGATIVE UK PORTRAYALS).",Y
OPERATION: NATIONAL GUARD,,DENIED,Not assisted,,,,,,OPERATION: NATIONAL GUARD_,"NOT TO THE BEST INTEREST OF THE DEPARTMENT, NOR THE NGB. REQUEST FOR INSTALLATIONS, EQUIP., AND PERSONNEL DENIED. TOO STEREOTYPICAL AND INACCURATE. NO RECORD FILM WITH THIS TITLE WAS EVER MADE.",
TROJAN HORSE,,DENIED,Not assisted,,,,,,TROJAN HORSE_,THE FILM WAS DENIED BECAUSE IT DEPICTED THE PEACETIME ACTS OF WAR. IT ALSO PORTRAYED THE MURDER BY US MILITARY PERSONNEL OF A SIZEABLE NUMBER OF CZECH OFFICIALS AND MILITARY PERSONNEL. NO RECORD OF FILM BEING MADE,
"LAST PLANE OUT, THE",,APPROVED,Assisted,1983,,,,,"LAST PLANE OUT, THE_1983",THE REQUEST FOR ASSISTANCE IN THE FILM WAS GRANTED AND THE USE OF SOME AIRCRAFT AS WELL SMALL SCALE PRODUCTION,
STRANGE INVADERS,,DENIED,Not assisted,1983,5.5,EMI Films,1362303,0,STRANGE INVADERS_1983,ASSISTANCE WAS DENIED BY THE DEPARTMENT AFTER BEING REVIEWED BY THE UNITED STATES AIR FORCE. A LOT OF FALSE AND INAPPROPRIATE INFORMATION ABOUT THE AIR FORCE WAS CONTAINED IN THE FILM.,
PASS THE AMMUNITION,,DENIED,Not assisted,,,,,,PASS THE AMMUNITION_,"TOO UNREALISTIC, CAUSES MISINTERPRETATION OF THE DUTIES OF THE GUARD AND ITS RELATIONSHIP AND THE TOWN; TOO VULGAR. REQUEST DENIED. NO RECORD OF FILM BEING MADE",
WAR GAMES,THE GENIUS,DENIED,Not assisted,1983,,,,,WAR GAMES_1983,THE THEME OF THE FILM GOES AGAINST EVERYTHING DOD EVER SAID ON THE SUBJECT OF ACCIDENTAL NUCLEAR WARFARE. PLOT ABSURD AND IMPLAUSIBLE. THE AIR FORCE FELT THAT THE BASIC CONCEPT OF THE FILM WAS UNACCEPTABLE. NO FORMAL REQUEST FOR ASSISTANCE EVER MADE AND JOHN HORTON ASKED DON BARUCH NOT TO PUT FORMAL TURN DOWN IN WRITING IN LETTER OF 22-JUNE-1981.,
THE RIGHT STUFF,,APPROVED,Assisted,1983,7.8,The Ladd Company,21192315,27000000,THE RIGHT STUFF_1983,"AFTER SO MUCH CONTROVERSY, ALL THE SERVICES, AND THE NAACP ALSO APPROVED OF THE FILM. DURING THE COURSE OF APPROVAL, THERE WAS SOME CONTROVERSY ON RACISM. IN THE BEST INTEREST OF THE DEPARTMENT TO PROVIDE THE LIMITED MILITARY ASSISTANCE",
RENAISSANCE MAN,,APPROVED,Assisted,1984,,,,,RENAISSANCE MAN_1984,"REQUESTED EXTENSIVE USE OF MILITARY INSTALLATION, ASSETS, EXTRAS FOR THIS PENNY MARSHALL-DIRECTED FEATURE STARRING DANNY DEVITO. AFTER SUCCESSFUL SCRIPT NEGOTIATIONS, ACHIEVED OUTSTANDING REWRITE AND APPROVED FULL MILITARY ASSISTANCE.",
PURPLE HEARTS,,LIMITED,Assisted,1984,5.8,The Ladd Company,2075282,0,PURPLE HEARTS_1984,"DOD DECLINED REQUEST FOR FILMING ON A NAVY HOSPITAL SHIP. APPEARS THAT TIME PRECLUDED OPPORTUNITY FOR MAKING SCRIPT CHANGES. HOWEVER, THE MARINES DECIDED TO SEND MAJ PAT COULTER AND HIS NEW RELIEF, MAJ FRED PACK, TO THE PHILIPPINES AT PRODUCTION COMPANY EXPENSE, TO SERVE AS TECHNICAL ADVISORS, DESPITE A DOD RULING NOT TO PROVIDE TECHNICAL ADVISORS. ONE OF THE VERY FEW POSITIVE VIETNAM MOVIES EVER MADE TO DATE, THOUGH NO EXPLANATION WHY A NAVY DOCTOR WOULD ACCOMPANY MARINES INTO COMBAT. NO FILE",y
RECOVERY,,DENIED,Not assisted,,,,,,RECOVERY_,"DENIED BECAUSE OF VIOLENCE, STRONG LANGUAGE, AND DOD DID NOT WANT TO COOPERATE ON ANY STORY DEALING WITH THE USMLM AS THE PRIMARY PLOT. REQUEST FOR INSTALLATIONS DENIED. NO RECORD OF FILM BEING MADE. NO FILE",
RETURN TO IWO JIMA,,APPROVED,Assisted,1984,,,,,RETURN TO IWO JIMA_1984,IN THE BEST INTEREST OF THE SERVICES. THE DOCUMENTARY WAS FACTUAL AND VERY POSITIVE FOR THE ARMED FORCES. REQUESTS WERE APPROVED.,
HOLD 'EM NAVY,TEN SOLDIERS,APPROVED,Assisted,1984,,,,,HOLD 'EM NAVY_1984,APPROVED USE OF INSTALLATIONS AND EQUIPMENT. DOD FELT IT WOULD HAVE A POSITIVE IMPACT AND BENEFIT TO THE MILITARY SERVICES AND IN THE NATIONAL INTEREST. AIR FORCE ORIGINALLY REFUSED TO PROVIDE ASSISTANCE DUE TO LANGUAGE OF A PILOT. ULTIMATELY JOHN MILIUS DECIDED IT COST TOO MUCH TO USE MILITARY ASSISTANCE.,
"SOLDIER'S STORY, A",,APPROVED,Assisted,1984,,,,,"SOLDIER'S STORY, A_1984",DOD FELT THIS FILM MIGHT GIVE THE AUDIENCE BACKGROUND AND INSIGHT ON THE BEGINNING OF INTEGRATION IN THE ARMED FORCES. REQUEST FOR FILMING ON FORT CHAFFEE PROVED TO BE BENEFICIAL TO DOD.,
TANK,,APPROVED,Assisted,1984,5.8,Lorimar Film Entertainment,11302884,0,TANK_1984,"AFTER CONSIDERABLE DISCUSSIONS AND CHANGES IN SCRIPT, DOD FELT THE END RESULT WOULD BE BENEFICIAL FOR THE ARMY AND THE PRODUCTION.",
"BEAR, THE",,APPROVED,Assisted,1984,,,,,"BEAR, THE_1984","ASSISTANCE WAS GIVEN EXCEPT FOR THE WWII VEHICLES OR AIRCRAFT FOR THE PRODUCTION. THIS IS A BIOGRAPHY OF BEAR BRYANT, THE ALABAMA FOOTBALL LEGEND. FILM BY THIS TITLE RELEASED IN 1984",
BIRDY,,DENIED,Not assisted,1984,7.3,A&M Films,1455045,12000000,BIRDY_1984,"NO RECORD ON FILE AS TO WHETHER DOD APPROVED IT OR NOT. ASSISTANCE WAS SUPPOSEDLY BE GIVEN ON MAY 2, 1984, BUT NO FEEDBACK WAS EVER GIVEN. CONTAINS STRONG ANTI-WAR MESSAGE DATE APPROXIMATED, NO FILE.",
KILLING FIELDS,,APPROVED,Assisted,1984,,,,,KILLING FIELDS_1984,"DOD AND THE USMC AGREED TO MAKE MARINE CORPS HELICOPTERS AVAILABLE PROVIDING IT BE AT NO ADDITIONAL COST TO THE GOVERNMENT. ONE OF THE FEW EARLY MOVIES ABOUT WAR IN SE. ASIA TO RECEIVE DOD COOPERATION",Y
STARMAN,,DENIED,Not assisted,1984,7,Columbia Pictures,28744356,22000000,STARMAN_1984,"THERE WAS NOTHING OF POSITIVE NATURE FOR SERVICES, ESPECIALLY THE AIR FORCE. APPROVAL WAS DENIED. AS OFTEN THE CASE WITH SCI-FI PICTURES, THE MILITARY BECAME THE VILLAIN TRYING TO CAPTURE THE NICE ALIEN AND DISSECT HIM OR SOMETHING LIKE THAT.",Y
MOSCOW ON THE HUDSON,,OTHER,Not assisted,1984,6.5,Bavaria Film,25068724,13000000,MOSCOW ON THE HUDSON_1984,THE FILM HAD NO MILITARY SIGNIFICANCE BUT THE DOD HAD NO OBJECTIONS TO OFF DUTY MILITARY PERSONNEL PARTICIPATING AS EXTRAS. STRICTLY VOLUNTARY,
OPERATION DUMBO DROP,,OTHER,Not assisted,1985,,,,,OPERATION DUMBO DROP_1985,"DOD WORKED INFORMALLY WITH STUDIO FOR MONTHS, DISCUSSING NEGATIVE, INACCURATE ASPECTS OF SCRIPT. THE WHOLE TIME, IT WAS UNCERTAIN WHETHER OR NOT STUDIO WOULD FILM IN THE US. (AND THEREFORE NEED US. MILITARY ASSISTANCE) OR OVERSEAS (AND NOT NEED US MILITARY ASSISTANCE). THE STUDIO DECIDED TO FILM IN THAILAND FOR PURELY FINANCIAL REASONS. DOD LOST ITS OPPORTUNITY TO INFLUENCE THE SCRIPT (AND RESOLVE ARMY — AIR FORCE CONFRONTATION SCENES). NO OFFICIAL DECLINE WAS EVER PUT IN WRITING, BECAUSE DISNEY NEVER FORMALLY REQUESTED ASSISTANCE. NO FILE.",
SUMMER RENTAL,,DENIED,Not assisted,1985,6.3,Paramount Pictures,24689703,0,SUMMER RENTAL_1985,DENIED: NOT IN THE BEST INTEREST OF THE DEPARTMENT.,Y (JOHN CANDY FIRST LEADING MOVIE)
"PHILADELPHIA EXPERIMENT, THE",,DENIED,Not assisted,1985,,,,,"PHILADELPHIA EXPERIMENT, THE_1985","THE DEPARTMENT FELT THAT A MOVIE OF THIS NATURE WOULD PERPETUATE THE MYTH OF THE PHILADELPHIA, AND THE ROLE OF THE NAVY IN IT. MYTHICAL AND BASED ON A FABRICATED STORY. THE NAVY'S PROBLEM IN ASSISTING WAS THE SAME ONE THE AIR FORCE FACED IN DEALING WITH ""CLOSE ENCOUNTERS."" HOW COULD AIR FORCE ASSIST ON A FLYING SAUCER MOVIE WHEN IT HAS ALWAYS SAID UFOS DO NOT EXIST. HOW COULD THE NAVY HELP PORTRAY AN INCIDENT WHICH IT SAID NEVER HAPPENED. FILMMAKERS USED THE YORKTOWN IN CHARLESTON.",
"THE ULTIMATE SOLUTION OF GRACE QUIGLEY, GRACE QUIGLEY",,LIMITED,Assisted,1985,,,,,"THE ULTIMATE SOLUTION OF GRACE QUIGLEY, GRACE QUIGLEY_1985",THE NAVY AGREED TO GIVE ASSISTANCE BY LENDING SEVERAL DECORATIONS FOR THE FILM.,
DAY OF THE DEAD,,LIMITED,Assisted,1985,7.1,United Film Distribution Company (UFDC),5000000,3500000,DAY OF THE DEAD_1985,APPROVED USE OF ARMY LAUNCH SITE NO LONGER IN ACTIVE USE — USED DOD DIRECTIVE REGARDING REAL ESTATE. ,
BREWSTER'S MILLIONS,,DENIED,Not assisted,1985,6.5,Universal Pictures,45833132,20000000,BREWSTER'S MILLIONS_1985,DENIED BY THE DEPARTMENT. THEY FELT THERE WAS TOO MANY HELICOPTERS COMMERCIALLY AVAILABLE IN THE NEW YORK AREA.,
DARYL,,DENIED,Not assisted,1985,,,,,DARYL_1985,FILM CONTAINS NOTHING POSITIVE FOR THE AIR FORCE OR DOD IN AUTHORIZING USE OF STOCK FOOTAGE FOR THE PROJECT. DATE OF 3-DEC-1984 IN DATABASE. THERE IS A 1985 FILM TITLED D.A.R.Y. L. THAT MIGHT BE SAME PROJECT--FILM ABOUT A ROBOT,
COCOON,THE JOURNEY BACK,DENIED,Not assisted,1985,6.7,Twentieth Century Fox,85313124,17500000,COCOON_1985,"AIR FORCE ASSISTANCE WAS DENIED SINCE THE FILM PORTRAYED THE AIR FORCE UNREALISTICALLY, THE IMAGE OF THE AIR FORCE WAS PORTRAYED UNPROFESSIONALLY, AND THIRDLY, THE BASIC STORYLINE IS CONTRARY TO AIR FORCE POLICY ON UFO'S--THE AIR FORCE HAS ALWAYS REFUSED TO PROVIDE ASSISTANCE TO STORIES THAT SHOW UFOS AS REAL INCLUDING ""CLOSE ENCOUNTERS OF THE THIRD KIND"" AND ""STAR MAN.""",Y
INVASION USA,INVASION [ORIGINAL TITLE),APPROVED,Assisted,1986,,,,,INVASION USA_1986,"APPROVED WITH NO ADDITIONAL COST TO THE GOVERNMENT BENEFICIAL TO THE NATIONAL GUARD, AS WELL AS TO THE ENTIRE DEPARTMENT. FILM, BUT SHOWS ARMY DOING ITS JOB. DOCUMENTS IN GEORGETOWN UNIVERSITY COLLECTION.",
PLATOON,,DENIED,Not assisted,1986,8.1,Hemdale,138545632,6000000,PLATOON_1986,"DENIED COOPERATION BECAUSE OF ITS UNREALISTIC VIEWS OF THE AMERICAN SOLDIER. TOTALLY UNBALANCED. ARMY SAID SCRIPT CONTAINED ""UNREALISTIC AND HIGHLY UNFAVORABLE DEPICTION OF THE AMERICAN SOLDIER, IMPLYING THAT ALL THE EVENTS DEPICTED OCCURRED ON EVERY COMBAT PATROL."" WON OSCAR FOR BEST PICTURE AND DIRECTOR.",Y
WITHOUT GLORY,,APPROVED,Assisted,,,,,,WITHOUT GLORY_,"APPROVED BY THE DEPARTMENT SINCE IT WAS BASED PRIMARILY, BUT NOT WHOLLY, ON ACTUAL INCIDENTS. REQUEST FOR STOCK FOOTAGE WAS APPROVED. NO RECORD OF FILM BEING MADE.",
INVADERS FROM MARS,,APPROVED,Assisted,1986,5.6,Cannon Pictures,4884663,12000000,INVADERS FROM MARS_1986,"THE FILM WAS APPROVED BY THE DEPARTMENT AND THE SERVICES. IT PRESENTED A POSITIVE IMAGE TO A LARGE SECTION OF THE RECRUITING-AGE MARKET. THE THESIS OF COOPERATING WITH SCI-FI INVASIONS IS THAT THE SERVICE, IN THIS CASE THE MARINES, WOULD OPPOSE THE ADVANCED SOCIETY. THIS IS THE REMAKE OF THE 1950'S CLASSIC. THE MARINES PROVIDED FULL COOPERATION, SINCE FILM SHOWED CORPS DOING ITS JOB. DOCUMENTS IN SUID COLLECTION, GEORGETOWN UNIVERSITY LIBRARY.",Y
"BEST RANGER, THE",,DENIED,Not assisted,,,,,,"BEST RANGER, THE_",DENIED BECAUSE THE US. MILITARY BECOMES INVOLVED IN A FICTIONAL MILITARY ATTEMPT ON PRESIDENT AQUINO'S LIFE AND A TAKE-OVER OF THE GOVERNMENT OF THE REPUBLIC OF THE PHILIPPINES. NO RECORD OF FILM BEING MADE,
KARATE KID II,,APPROVED,Assisted,1986,,,,,KARATE KID II_1986,"APPROVAL WAS GRANTED FOR THE USE OF EQUIPMENT SUCH AS A HUEY, TRUCKS, JEEPS, ETC. PROVIDING THE PRODUCTION FOLLOW DOD'S CONDITIONS SUCH AS: NO INTERFERENCE, NO EXPENSE, NO VIOLATIONS, ETC.",
STAR TREK IV,,APPROVED,Assisted,1986,,,,,STAR TREK IV_1986,APPROVED US OF NAVY'S USS. RANGER. IN THE BEST INTEREST OF THE DEPARTMENT. NAVY HAD SOME CONCERN ABOUT ENTERPRISE CREW MEMBERS GETTING INTO SECURE LOCATIONS UNTIL REMINDED THAT A TRANSPORTER WOULD DELIVER CREW AND SO NOT BE A SECURITY VIOLATION,Y
TOP GUN,,APPROVED,Assisted,1986,6.9,Paramount Pictures,357288178,15000000,TOP GUN_1986,"DOD AND THE NAVY APPROVED ASSISTANCE ON THE FILM SINCE IT CLEARLY PORTRAYED THE NAVY IN A VERY POSITIVE LIGHT. FIRST CONTACT WAS MEETING BETWEEN PRODUCERS AND NAVY PUBLIC AFFAIRS FIRST WEEK IN JUNE, 1933. FIRST SCRIPT DELIVERED TO DOD 15-NOV-1983. FILM COMPLETED REHABILITATION OF THE MILITARY'S IMAGE, WHICH HAD BEEN SAVAGED BY THE VIETNAM WAR.",
HEARTBREAK RIDGE,,APPROVED,Assisted,1986,6.9,Jay Weston Productions,42724017,15000000,HEARTBREAK RIDGE_1986,"PROJECT ORIGINALLY AN ARMY FILM. BUT SERVICE UNHAPPY WITH SCRIPT AND PARTICULARLY LANGUAGE. MARINES AGREED TO COOPERATE IF CHANGES MADE. COMPANY AGREED. BUT NOT CLEAR WHAT CHANGES MARINES REQUESTED. MARINE TECHNICAL ADVISOR MAY HAVE GIVEN FILMMAKERS WIDE LATITUDE. WHEN SCREENED IN PENTAGON, BOTH DOD AND MARINES REQUESTED SCREEN CREDIT BE REMOVED BECAUSE OF DISSATISFACTION WITH PICTURE. FOR EXAMPLE, ACTOR CLINT EASTWOOD'S MARINE CHARACTER SHOOTS A DYING CUBAN SOLDIER AND TAKES CIGAR FROM HIS POCKET.",
"GOOD MORNING, VIETNAM",,DENIED,Not assisted,1987,7.3,Touchstone Pictures,123922370,13000000,"GOOD MORNING, VIETNAM_1987","THIS IS THE FIRST COMEDY SET IN VIETNAM. FOCUS ON ARMED FORCES VIETNAM NETWORK DJ PLAYED BY ROBIN WILLIAMS. BASED ON ACTUAL AIR FORCE DJ, BUT WILDLY EXAGGERATED FOR DRAMATIC EFFECT. COMPLETELY UNREALISTIC.",Y
NO WAY OUT,,OTHER,Not assisted,1987,7.1,Orion Pictures,35509515,15000000,NO WAY OUT_1987,"PRODUCER SAYS COMPANY ONLY FILMED IN NONSECURE, PUBLIC (AT THE TIME) COMMERCIAL SHOPPING AREA. HOWEVER, IT IS CLEAR THAT CAMERA CREW AND ACTOR KEVIN COSTNER DID FILM ON THE A RING (FLAG CORRIDOR). THE SCENES FILMED ELSEWHERE, PRINCIPALLY AT THE DEPARTMENT OF INTERIOR BUILDING, WERE SKILLFULLY DONE TO IMITATE THE PENTAGON. BUT THE FLAG CORRIDOR IS UNMISTAKABLY THE PENTAGON. PLOT OF THE FILM OBVIATES ANY DOD SUPPORT.",Y
DISTANT THUNDER,,DENIED,Not assisted,,,,,,DISTANT THUNDER_,"FILM WAS DENIED BECAUSE SCENES OF THE FILM WERE OBJECTIONABLE. TOO FICTIONAL. ABOUT A VIETNAM VETERAN WHO LIVES ALONE IN THE WILDERNESS. AS OF JAN 2000, THE FILM HAS YET TO BE PRODUCED.",
FULL METAL JACKET,,OTHER,Not assisted,1987,8.3,Natant,46357676,30000000,FULL METAL JACKET_1987,STANLEY KUBRICK MADE HIS VIETNAM FILM IN ENGLAND WITHOUT ANY CONTACT WITH DOD OR THE MARINES. RETIRED MARINE DRILL INSTRUCTOR LEE ERMEY SERVED AS TECHNICAL ADVISOR.,Y
HERO,,OTHER,Not assisted,,,,,,HERO_,"AFTER REVIEWING THE SCRIPT, DOD DETERMINED NOT TO SUPPORT THE FILM, BECAUSE THERE WAS NO BENEFIT TO THE AIR FORCE. NO INDICATION THAT THE FILM WAS EVER PRODUCED.",Y
PROJECT X,,DENIED,Not assisted,1987,6.1,Amercent Films,21589395,18000000,PROJECT X_1987,"NOT BENEFICIAL TO THE US AIR FORCE. REQUEST FOR USE OF HURLBURT FIELD AND PATRICK AFB, FLORIDA ALONG WITH EQUIPMENT WAS DENIED.",Y
AMAZING GRACE AND CHUCK,,DENIED,Not assisted,1987,,,,,AMAZING GRACE AND CHUCK_1987,"STORY DOES NOT ACCURATELY PORTRAY US EFFORTS TO MAINTAIN NUCLEAR DETERRENCE, TO SEEK ARMS REDUCTIONS, AND TO KEEP THE PEACE. ASSISTANCE DENIED. NO FILE",
HANOI HILTON,,APPROVED,Assisted,1987,,,,,HANOI HILTON_1987,"AN USUALLY FINE SCRIPT ACCORDINGING TO DOD AT THE TIME. BENEFITTED THE MILITARY BY PRESENTING VERY REALISTIC DEPICTION OF EVENTS, ALTHOUGH THE STORY ITSELF IS FICTIONAL POSITIVE PORTRAYAL OF POWS SHOWING TORTURE, FORTITUDE, AND CONDEMNATION OF A JANE FONDA TYPE (REPLICATING ONE OF HER VISITS TO HANOI). SCREENING IN MARCH, 1987 AT PENTAGON.",Y
ROBOCOP,,DENIED,Not assisted,1987,7.5,Orion Pictures,53424681,13000000,ROBOCOP_1987,DOD FOUND NOTHING IN THE FILM BENEFICIAL TO THE DEPARTMENT. THEY FOUND THE FILM TO BE VIOLENT AND BLOODY. THE REQUEST FOR STOCK FOOTAGE WAS DENIED.,
RUSSKIES,,APPROVED,Assisted,1987,5.6,New Century Entertainment Corporation,2189047,0,RUSSKIES_1987,"PERMISSION FOR FLORIDA NATIONAL GUARD EQUIPMENT, INSTALLATION, AND  PERSONNEL GRANTED. ALTHOUGH IT HAD NOTHING TO DO WITH THE GUARD, DOD FELT IT WOULD BE GOOD COMMUNITY RELATIONS FOR THE GUARD. NO RECORD OF FILM BEING MADE.",Y
GARDENS OF STONE,,OTHER,Not assisted,1987,6.4,TriStar Pictures,5262047,0,GARDENS OF STONE_1987,"THE REQUEST FOR INSTALLATION, PERSONNEL, EQUIPMENT, AND ANIMALS WAS APPROVED. THE REQUEST FILM PERFECT EXAMPLE OF DOD DENYING HELP TO A FILMMAKER ON ONE PROJECT (APOCALYPSE NOW) AND THEN GIVING FULL COOPERATION TO ANOTHER. SOME FEEL THAT THE FILM CONTAINS A POWERFUL ANTI-WAR AND ANTI-VIETNAM WAR MESSAGE, ONE OF THE STRONGEST, IF NOT STRONGEST IN ANY FILM WHICH RECEIVED DOD ASSISTANCE.",Y
HAMBURGER HILL,,APPROVED,Assisted,1987,6.7,RKO Pictures,13839404,0,HAMBURGER HILL_1987,"ARMY FOUND THE FILM TO BE HISTORICALLY ACCURATE AND MOVING. PRESENTED A MORE REALISTIC VIEW OF THE STRUGGLES OF COMBAT SOLDIERS IN VIETNAM, AS OPPOSED TO OTHER VIETNAM FILMS. ONE OF VERY FEW COMBAT FILMS SET IN VIETNAM TO RECEIVE FULL COOPERATION IN THIS PERIOD.",
THE LIVING DAYLIGHTS,,DENIED,Not assisted,1987,6.7,Eon Productions,51186259,40000000,THE LIVING DAYLIGHTS_1987,"THE REQUEST FOR DOD ASSISTANCE AND APPROVAL WAS CANCELLED. THE PRODUCTION COMPANY INITIALLY REQUESTED THE USE OF A NAVY CARRIER.",
TWISTER,,APPROVED,Assisted,,,,,,TWISTER_,THE NGB BUREAU AND THE DEPARTMENT APPROVED THE USE OF STOCK FOOTAGE FOR THE FILM. FILM BARELY RELEASED — NOT THE HIGHLY SUCCESSFUL 1996 FILM ABOUT TORNADO CHASERS,
EMPIRE OF THE SUN,,LIMITED,Assisted,1987,7.7,Amblin Entertainment,22238696,35000000,EMPIRE OF THE SUN_1987,THE NAVY AND DOD APPROVED FOR PERSONNEL TO BE USED AS EXTRAS VOLUNTARILY. THERE WAS ALSO A HOLD HARMLESS AGREEMENT INDUSTRY INSURANCE WAS CARRIED. THE REQUEST FOR A NAVY AIRCRAFT WAS DROPPED.,
"TRUEST SPORT, THE",,APPROVED,Assisted,,,,,,"TRUEST SPORT, THE_",APPROVED BY ALL SERVICES. ALL EQUIPMENT AND ASSISTANCE WAS APPROVED. VERY POSITIVE PICTURE ABOUT THE VIETNAM WAR. NO RECORD OF FILM BEING MADE,
BILOXI BLUES,,APPROVED,Assisted,1988,6.6,Rastar Pictures,51684798,20000000,BILOXI BLUES_1988,REQUEST FOR USE OF FORT CHAFFEE FOR FILMING WAS GRANTED. AFTER ACTION REPORT IN FILE AT GEORGETOWN UNIVERSITY LIBRARY.,
RETREADS,,DENIED,Not assisted,1988,,,,,RETREADS_1988,DISAPPROVED BY BOTH THE AIR FORCE AND THE DEPARTMENT OF DEFENSE. THE REQUEST FOR VEHICLES WAS OF COURSE DENIED. NO RECORD OF FILM BEING MADE,
FLIGHT DECK,,APPROVED,Assisted,1988,,,,,FLIGHT DECK_1988,"APPROVED, BUT CAN'T TELL IF EVER ACTUALLY PRODUCED",
"VON METZ INCIDENT, THE",,DENIED,Not assisted,,,,,,"VON METZ INCIDENT, THE_","NAVY DENIED THE FILM FINDING IT NO BENEFIT TO THE US NAVY. REQUEST TO FILM AT NAVAL INSTALLATION, WAS TURNED DOWN. NO RECORD OF FILM BEING MADE",
HEALTH CLUB,,APPROVED,Assisted,,,,,,HEALTH CLUB_,"THF SCRIPT WAS DIRECTED TO THE NATIONAL GUARD BURT-All FOR APPROVAL AND IN TURN, APPROVED. NO RECORD OF MOVIE BEING MADE",
ERNEST SAVES CHRISTMAS,,APPROVED,Assisted,1988,5.6,Touchstone Pictures,28202109,6000000,ERNEST SAVES CHRISTMAS_1988,"APPROVED THE REQUEST FOR AIR FORCE STOCK FOOTAGE OF PLANES, UNIFORMS, AND PERSONNEL, SINCE THE FILM PORTRAYED THE FORCE IN A POSITIVE MANNER.",
